iter	Passed	Remaining
0	2	278
1	5	268
2	8	260
3	9	239
4	12	242
5	15	240
6	18	239
7	20	237
8	23	234
9	25	232
10	37	303
11	66	488
12	69	464
13	72	448
14	77	436
15	80	423
16	83	406
17	85	391
18	88	378
19	92	371
20	95	359
21	97	346
22	101	338
23	103	328
24	107	323
25	110	314
26	113	307
27	118	304
28	121	298
29	124	291
30	127	284
31	130	277
32	133	270
33	136	265
34	140	260
35	143	254
36	145	247
37	147	241
38	151	236
39	156	235
40	160	230
41	161	222
42	164	217
43	167	213
44	170	208
45	175	205
46	178	200
47	184	199
48	187	195
49	190	190
50	192	185
51	195	180
52	198	176
53	201	171
54	202	165
55	205	161
56	207	156
57	214	155
58	217	151
59	220	146
60	223	142
61	225	138
62	228	134
63	231	130
64	234	126
65	236	121
66	238	117
67	243	114
68	246	110
69	248	106
70	251	102
71	254	98
72	258	95
73	262	92
74	265	88
75	268	84
76	272	81
77	276	77
78	279	74
79	282	70
80	284	66
81	286	62
82	289	59
83	291	55
84	293	51
85	297	48
86	299	44
87	302	41
88	305	37
89	307	34
90	310	30
91	313	27
92	315	23
93	317	20
94	320	16
95	323	13
96	325	10
97	327	6
98	329	3
99	332	0
