iter	Passed	Remaining
0	1727	1726065
1	1740	868285
2	1759	584675
3	1769	440558
4	1772	352814
5	1775	294221
6	1778	252351
7	1785	221435
8	1787	196842
9	1789	177193
10	1791	161093
11	1793	147669
12	1795	136315
13	1799	126736
14	1801	118294
15	1803	110909
16	1805	104396
17	1807	98608
18	1809	93425
19	1813	88839
20	1814	84613
21	1817	80779
22	1818	77267
23	1820	74042
24	1822	71075
25	1824	68339
26	1827	65874
27	1829	63519
28	1831	61326
29	1833	59279
30	1835	57372
31	1837	55579
32	1840	53930
33	1843	52381
34	1845	50886
35	1847	49471
36	1849	48128
37	1851	46870
38	1854	45686
39	1857	44591
40	1859	43501
41	1861	42465
42	1863	41474
43	1865	40528
44	1868	39646
45	1874	38870
46	1877	38059
47	1881	37310
48	1889	36663
49	1892	35949
50	1895	35262
51	1897	34599
52	1903	34010
53	1908	33428
54	1910	32834
55	1913	32249
56	1916	31701
57	1918	31151
58	1919	30620
59	1921	30107
60	1924	29619
61	1926	29141
62	1927	28675
63	1931	28246
64	1933	27810
65	1935	27385
66	1937	26977
67	1939	26582
68	1941	26197
69	1943	25818
70	1946	25472
71	1948	25115
72	1950	24772
73	1952	24433
74	1954	24103
75	1956	23782
76	1958	23472
77	1966	23241
78	1971	22989
79	1980	22776
80	1982	22495
81	1985	22223
82	1986	21946
83	1995	21762
84	2000	21530
85	2007	21334
86	2011	21104
87	2013	20870
88	2016	20636
89	2018	20406
90	2025	20234
91	2028	20015
92	2030	19803
93	2033	19597
94	2037	19407
95	2039	19203
96	2041	19004
97	2043	18806
98	2045	18617
99	2047	18427
100	2052	18266
101	2054	18085
102	2056	17907
103	2059	17744
104	2061	17573
105	2063	17404
106	2067	17254
107	2069	17091
108	2071	16935
109	2074	16781
110	2076	16626
111	2077	16475
112	2081	16340
113	2083	16193
114	2085	16049
115	2087	15908
116	2089	15769
117	2091	15633
118	2093	15502
119	2096	15377
120	2098	15247
121	2100	15115
122	2102	14990
123	2104	14866
124	2106	14742
125	2107	14621
126	2109	14503
127	2111	14386
128	2113	14272
129	2115	14158
130	2117	14046
131	2119	13936
132	2123	13843
133	2125	13738
134	2128	13635
135	2130	13531
136	2131	13428
137	2133	13326
138	2135	13227
139	2138	13135
140	2140	13040
141	2141	12940
142	2143	12846
143	2145	12754
144	2147	12661
145	2149	12570
146	2153	12494
147	2154	12405
148	2157	12320
149	2158	12233
150	2160	12148
151	2162	12065
152	2164	11983
153	2167	11906
154	2169	11826
155	2171	11747
156	2173	11668
157	2174	11590
158	2176	11514
159	2181	11452
160	2182	11374
161	2184	11300
162	2186	11226
163	2188	11154
164	2190	11083
165	2191	11012
166	2197	10959
167	2199	10890
168	2200	10821
169	2202	10753
170	2204	10686
171	2206	10621
172	2211	10573
173	2215	10516
174	2217	10454
175	2220	10395
176	2233	10386
177	2238	10335
178	2246	10302
179	2248	10243
180	2250	10185
181	2253	10127
182	2257	10079
183	2259	10020
184	2261	9962
185	2263	9904
186	2264	9846
187	2266	9790
188	2269	9737
189	2271	9683
190	2273	9629
191	2275	9576
192	2277	9524
193	2279	9470
194	2282	9420
195	2284	9369
196	2286	9318
197	2288	9269
198	2290	9220
199	2294	9178
200	2296	9130
201	2298	9081
202	2300	9033
203	2303	8986
204	2305	8939
205	2308	8897
206	2311	8854
207	2313	8807
208	2314	8761
209	2317	8717
210	2319	8673
211	2321	8627
212	2325	8591
213	2327	8547
214	2328	8503
215	2331	8461
216	2332	8417
217	2334	8374
218	2336	8331
219	2340	8296
